ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300045.SZ,20240606,18.22,18.42,17.4,17.44,18.22,-0.78,-4.281,271413.67,480812.31
300045.SZ,20240605,18.4,18.74,18.22,18.22,18.43,-0.21,-1.1394,151557.17,280507.578
300045.SZ,20240604,18.68,18.8,18.18,18.43,18.93,-0.5,-2.6413,206389,379993.709
300045.SZ,20240603,19.25,19.49,18.6,18.93,19.08,-0.15,-0.7862,304699.1,580938.948
300045.SZ,20240531,18.29,19.23,18.27,19.08,18.4,0.68,3.6957,355717.89,672186.28
300045.SZ,20240530,18.03,18.75,17.81,18.4,18.37,0.03,0.1633,219252.34,403712.064
300045.SZ,20240529,18.59,18.9,18.3,18.37,18.18,0.19,1.0451,214726.04,398129.91
300045.SZ,20240528,18.16,18.77,17.92,18.18,18.28,-0.1,-0.547,201404.67,370174.587
300045.SZ,20240527,18.38,18.39,17.7,18.28,18.19,0.09,0.4948,224775.21,404112.116
300045.SZ,20240524,18.98,19.14,18.19,18.19,19.14,-0.95,-4.9634,301678.83,558077.051
300045.SZ,20240523,19.65,19.73,19.12,19.14,19.74,-0.6,-3.0395,219357.02,424670.203
300045.SZ,20240522,19.79,20.15,19.49,19.74,19.79,-0.05,-0.2527,205501.72,406969.032
300045.SZ,20240521,20.24,20.24,19.65,19.79,20.2,-0.41,-2.0297,230753.43,457709.115
300045.SZ,20240520,19.55,20.23,19.4,20.2,19.53,0.67,3.4306,335663.81,672512.241
300045.SZ,20240517,19.35,19.53,18.98,19.53,19.05,0.48,2.5197,263148.16,509157.456
300045.SZ,20240516,18.99,19.35,18.97,19.05,18.85,0.2,1.061,178698.43,342247.76
300045.SZ,20240515,19.01,19.29,18.76,18.85,19.17,-0.32,-1.6693,169289.96,321319.804
300045.SZ,20240514,19.2,19.5,19.07,19.17,18.98,0.19,1.0011,171197.82,329626.574
300045.SZ,20240513,19.31,19.48,18.82,18.98,19.68,-0.7,-3.5569,255150.25,487264.97
300045.SZ,20240510,20.32,20.45,19.59,19.68,20.39,-0.71,-3.4821,344339.57,682085.173
300045.SZ,20240509,20.58,20.86,20.22,20.39,20.56,-0.17,-0.8268,304859.84,626201.321
300045.SZ,20240508,21.4,21.44,20.54,20.56,21.5,-0.94,-4.3721,409617.4,852681.544
300045.SZ,20240507,20.71,21.78,20.49,21.5,20.75,0.75,3.6145,635002.22,1350296.63
300045.SZ,20240506,20.75,21.17,20.66,20.75,20.37,0.38,1.8655,304923.64,636253.963
300045.SZ,20240430,21.19,21.38,20.33,20.37,21,-0.63,-3,369845.79,766134.526
300045.SZ,20240429,20.45,21.43,20.44,21,20.81,0.19,0.913,511918.05,1071188.334
300045.SZ,20240426,19.97,21.14,19.95,20.81,19.89,0.92,4.6254,482472.39,999696.048
300045.SZ,20240425,20.75,20.75,19.81,19.89,20.75,-0.86,-4.1446,426791.68,861901.374
300045.SZ,20240424,19.4,20.8,19.4,20.75,19.24,1.51,7.8482,457873,926759.401
300045.SZ,20240423,19.64,19.91,19.23,19.24,19.64,-0.4,-2.0367,259679.59,507777.855
300045.SZ,20240422,19.9,20.3,18.94,19.64,20.17,-0.53,-2.6277,316124.25,622225.234
300045.SZ,20240419,20.88,21.29,20.09,20.17,21.18,-1.01,-4.7686,478722.55,984304.432
300045.SZ,20240418,20.5,21.89,20.18,21.18,20.37,0.81,3.9764,627311.96,1328426.837
300045.SZ,20240417,19.31,20.54,19.31,20.37,18.77,1.6,8.5242,425974.25,857608.521
300045.SZ,20240416,20.05,20.23,18.51,18.77,20.33,-1.56,-7.6734,470464.47,901103.706
300045.SZ,20240415,21.06,21.44,19.68,20.33,20.94,-0.61,-2.9131,447689.9,912641.253
300045.SZ,20240412,21.5,21.78,20.83,20.94,21.47,-0.53,-2.4686,359505.93,766121.132
300045.SZ,20240411,21.82,22.38,21.36,21.47,21.9,-0.43,-1.9635,328046.59,718895.424
300045.SZ,20240410,22.8,22.9,21.82,21.9,23.1,-1.2,-5.1948,368129.16,816694.114
300045.SZ,20240409,23.06,23.37,21.95,23.1,23.41,-0.31,-1.3242,443265.75,1005740.228
300045.SZ,20240408,23.7,24.43,23.23,23.41,24.02,-0.61,-2.5396,414750.45,988994.897
300045.SZ,20240403,24.62,24.69,23.43,24.02,24.67,-0.65,-2.6348,477196.86,1146111.114
300045.SZ,20240402,24.4,25.16,23.83,24.67,24.62,0.05,0.2031,699319.5,1716046.72
300045.SZ,20240401,24.28,25,24,24.62,23.94,0.68,2.8404,668025.12,1638879.051
300045.SZ,20240329,22.95,23.99,22.85,23.94,23.16,0.78,3.3679,676565.55,1589355.949
300045.SZ,20240328,21.3,23.37,21.29,23.16,21.31,1.85,8.6814,709318.38,1607993.601
300045.SZ,20240327,23,23.02,21.28,21.31,23.15,-1.84,-7.9482,506702.94,1109109.947
300045.SZ,20240326,23.11,23.78,22.5,23.15,23.55,-0.4,-1.6985,464881.68,1075073.916
300045.SZ,20240325,23.57,24.6,23.4,23.55,23.57,-0.02,-0.0849,611446.24,1475220.296
300045.SZ,20240322,24.27,24.49,23.51,23.57,24.51,-0.94,-3.8352,576619.66,1374559.541
300045.SZ,20240321,25.2,25.32,24.32,24.51,25.29,-0.78,-3.0842,670896.32,1659601.944
300045.SZ,20240320,25.4,25.87,25.07,25.29,26,-0.71,-2.7308,753977.06,1920363.228
300045.SZ,20240319,25.22,26.65,24.34,26,25.05,0.95,3.7924,1063297.85,2683171.369
300045.SZ,20240318,24.91,25.34,24.4,25.05,24.54,0.51,2.0782,851208.62,2119331.243
300045.SZ,20240315,24,24.76,23.62,24.54,23.75,0.79,3.3263,784124.11,1912722.798
300045.SZ,20240314,23.8,24.72,23.59,23.75,24.11,-0.36,-1.4932,810454.1,1961563.46
300045.SZ,20240313,23.94,24.58,23,24.11,23.58,0.53,2.2477,917736.7,2180933.127
300045.SZ,20240312,22.7,24.6,22.7,23.58,22.64,0.94,4.1519,958838.23,2267797.107
300045.SZ,20240311,22.03,22.82,22.03,22.64,22.48,0.16,0.7117,501422.23,1128925.645
300045.SZ,20240308,21.98,22.87,21.97,22.48,21.98,0.5,2.2748,537943.27,1209089.653
300045.SZ,20240307,23,23.38,21.71,21.98,23.39,-1.41,-6.0282,724878.51,1635256.551
300045.SZ,20240306,22.51,23.84,22.38,23.39,22.88,0.51,2.229,828013.54,1910120.062
300045.SZ,20240305,23.19,24.98,22.53,22.88,23.85,-0.97,-4.0671,1096436.95,2585175.987
300045.SZ,20240304,22.97,24,22.52,23.85,22.95,0.9,3.9216,1007296.57,2370930.734
300045.SZ,20240301,22.44,23.75,21.66,22.95,22.44,0.51,2.2727,1251337.14,2851775.765
300045.SZ,20240229,19.55,22.64,19.49,22.44,19.81,2.63,13.2761,1085283.45,2312271.111
300045.SZ,20240228,22.26,22.26,19.73,19.81,22.28,-2.47,-11.0862,1063614.36,2267480.373
300045.SZ,20240227,20.14,23.1,19.92,22.28,20.13,2.15,10.6806,1076736.96,2296227.599
300045.SZ,20240226,19.52,21.08,19.49,20.13,19.82,0.31,1.5641,837045.92,1705555.759
300045.SZ,20240223,19.22,20.37,18.96,19.82,19.12,0.7,3.6611,837454.09,1654970.979
300045.SZ,20240222,18.43,19.28,18.43,19.12,18.56,0.56,3.0172,660021.58,1250189.856
300045.SZ,20240221,18.07,19.49,17.74,18.56,18.72,-0.16,-0.8547,791097.96,1466679.224
300045.SZ,20240220,16.5,19.54,16.39,18.72,16.87,1.85,10.9662,904170.61,1634108.905
300045.SZ,20240219,16,17.6,15.85,16.87,15.67,1.2,7.6579,599880.03,998362.858
300045.SZ,20240208,15.4,15.85,14.44,15.67,15.03,0.64,4.2582,521753.91,803236.326
300045.SZ,20240207,14.82,16.25,14.7,15.03,14.79,0.24,1.6227,530596.11,821287.122
300045.SZ,20240206,13.7,15.2,13.5,14.79,13.92,0.87,6.25,404807.15,582798.448
300045.SZ,20240205,15.59,15.59,13.87,13.92,15.72,-1.8,-11.4504,415332.62,601721.089
300045.SZ,20240202,16.39,17,15.32,15.72,16.29,-0.57,-3.4991,383023.31,622647.762
300045.SZ,20240201,16.28,16.69,15.69,16.29,16.2,0.09,0.5556,312775.45,508420.452
300045.SZ,20240131,16.7,17.14,16.14,16.2,16.64,-0.44,-2.6442,332387.77,551663.364
300045.SZ,20240130,18.2,18.2,16,16.64,18.37,-1.73,-9.4175,474509.14,803673.745
300045.SZ,20240129,19.43,19.65,18.33,18.37,19.45,-1.08,-5.5527,314415.15,589198.404
300045.SZ,20240126,19.59,20.1,19.38,19.45,19.8,-0.35,-1.7677,346680.48,682814.451
300045.SZ,20240125,19.36,19.86,19,19.8,19.68,0.12,0.6098,540679.7,1056031.972
300045.SZ,20240124,18.46,19.82,17.66,19.68,18.42,1.26,6.8404,608602.59,1130724.725
300045.SZ,20240123,18.28,18.85,17.88,18.42,18.38,0.04,0.2176,416684.29,762818.753
300045.SZ,20240122,19.3,19.49,18.15,18.38,19.78,-1.4,-7.0779,428946.44,810673.902
300045.SZ,20240119,20.3,21.06,19.73,19.78,20.59,-0.81,-3.9339,521272.22,1062620.436
300045.SZ,20240118,19.91,20.81,19.34,20.59,19.89,0.7,3.5194,685650.95,1373662.221
300045.SZ,20240117,19.21,21.15,19.05,19.89,19.11,0.78,4.0816,824568.64,1664269.105
300045.SZ,20240116,19.22,19.4,18.8,19.11,19.28,-0.17,-0.8817,239816.48,456253.248
300045.SZ,20240115,19.08,19.67,19.08,19.28,19.44,-0.16,-0.823,229492.02,444789.967
300045.SZ,20240112,19.76,19.96,19.2,19.44,19.69,-0.25,-1.2697,365244.71,716239.527
300045.SZ,20240111,18.98,19.82,18.97,19.69,18.96,0.73,3.8502,363031.15,708204.53
300045.SZ,20240110,19.74,19.78,18.9,18.96,19.67,-0.71,-3.6096,304101.74,580665.592
300045.SZ,20240109,19.65,20.21,19.46,19.67,19.47,0.2,1.0272,298207.02,591096.285
300045.SZ,20240108,20.2,20.31,19.4,19.47,20.38,-0.91,-4.4652,366853.25,721058.005
300045.SZ,20240105,21.94,21.95,20.38,20.38,22.04,-1.66,-7.5318,522487.67,1093514.322
300045.SZ,20240104,21.73,22.3,21.5,22.04,21.88,0.16,0.7313,393869.94,867449.721
300045.SZ,20240103,22.67,23.05,21.71,21.88,23.08,-1.2,-5.1993,532470.17,1181217.125
300045.SZ,20240102,24.46,24.76,22.9,23.08,24.33,-1.25,-5.1377,691657.15,1618084.041
300045.SZ,20231229,23.6,25.18,23.31,24.33,23.66,0.67,2.8318,837399.63,2050221.342
300045.SZ,20231228,23.41,24.62,23.26,23.66,23.57,0.09,0.3818,842831.38,2013479.307
300045.SZ,20231227,22.18,25.46,22.18,23.57,22.73,0.84,3.6956,1192134.11,2854567.59
300045.SZ,20231226,21.26,23,21.03,22.73,21.58,1.15,5.329,839259.02,1872171.688
300045.SZ,20231225,22.34,22.54,21,21.58,22.53,-0.95,-4.2166,594855.34,1285249.452
300045.SZ,20231222,21.35,23,21.2,22.53,21.25,1.28,6.0235,996902.25,2220971.098
300045.SZ,20231221,20.87,21.27,20.63,21.25,20.9,0.35,1.6746,273760.64,575151.084
300045.SZ,20231220,21.5,21.55,20.87,20.9,21.38,-0.48,-2.2451,221000.09,466791.218
300045.SZ,20231219,21.37,21.55,21.11,21.38,21.59,-0.21,-0.9727,245870.08,523622.749
300045.SZ,20231218,21.38,22,21.1,21.59,21.37,0.22,1.0295,343887.97,743336.432
300045.SZ,20231215,21.89,21.95,21.28,21.37,21.81,-0.44,-2.0174,268226.36,575902.78
300045.SZ,20231214,22.4,22.5,21.77,21.81,22.22,-0.41,-1.8452,301579,664518.036
